	Word	PoS	FrIm		LL		FrIn

	shows	Verb	14	-	2686.7	129
	ask	Verb	322	+	2686.6	131
	review	NoC	5	-	2680.2	104
	swung	Verb	75	+	2676.4	6
	methods	NoC	11	-	2674.2	121
	surprised	Adj	130	+	2670.4	25
	possible	Adj	176	-	2665.9	413
	director	NoC	27	-	2662.0	158
	phone	NoC	150	+	2659.9	34
	neck	NoC	151	+	2654.2	35
	first	Ord	862	-	2651.0	1312
	differences	NoC	6	-	2649.0	105
	teeth	NoC	134	+	2648.2	27
	science	NoC	18	-	2646.8	138
	organisation	NoC	8	-	2630.2	111
	culture	NoC	10	-	2629.7	115
	test	NoC	19	-	2625.3	139
	50	Num	3	-	2622.4	94
	towards	Prep	502	+	2619.4	254
	September	NoP	17	-	2613.8	135
	planning	NoC	11	-	2612.6	118
	produce	Verb	20	-	2601.9	140
	appropriate	Adj	21	-	2600.8	143
	No	NoC	3	-	2600.3	92
	rang	Verb	87	+	2600.1	10
	stop	Verb	247	+	2596.0	87
	reported	Verb	24	-	2595.3	150
	sky	NoC	139	+	2593.8	30
	most	DetP	235	-	2591.7	494
	Inc	Adj	0	-	2588.4	81
	bloody	Adj	95	+	2585.3	13
	no	Det	1775	+	2584.7	1267
	standards	NoC	14	-	2580.0	126
	those	DetP	567	-	2578.3	938
	prime	Adj	28	-	2576.9	158
	Scottish	Adj	16	-	2575.8	131
	1993	Num	0	-	2574.7	79
	courses	NoC	7	-	2572.8	106
	answered	Verb	116	+	2570.8	20
	generally	Adv	23	-	2566.6	148
	sit	Verb	172	+	2566.5	46
	skills	NoC	12	-	2565.8	119
	values	NoC	6	-	2561.0	102
	shares	NoC	7	-	2559.5	106
	institutions	NoC	2	-	2558.3	89
	survey	NoC	7	-	2557.4	104
	develop	Verb	10	-	2556.0	113
	benefits	NoC	4	-	2551.0	96
	Claudia	NoP	54	+	2547.7	1
	method	NoC	12	-	2545.8	120
	Charlie	NoP	94	+	2543.5	12
	examples	NoC	4	-	2541.2	95
	closed	Verb	190	+	2539.2	56
	demand	NoC	11	-	2538.9	117
	amount	NoC	37	-	2535.3	176
	alone	Adj	146	+	2533.0	34
	house	NoC	753	+	2533.0	442
	England	NoP	102	-	2530.8	290
	decision	NoC	54	-	2528.9	208
	needs	NoC	17	-	2528.3	132
	upstairs	Adv	76	+	2524.4	7
	budget	NoC	5	-	2523.1	97
	use	Verb	137	-	2517.7	346
	annual	Adj	8	-	2516.4	107
	bedroom	NoC	117	+	2515.5	21
	includes	Verb	3	-	2511.7	91
	always	Adv	678	+	2511.2	386
	all	DetP	2807	+	2502.6	2165
	term	NoC	26	-	2500.6	151
	asleep	Adj	83	+	2499.8	9
	county	NoC	12	-	2499.3	118
	24	Num	3	-	2492.6	90
	drew	Verb	133	+	2490.7	29
	country	NoC	159	-	2482.3	377
