	Word	PoS	FrIm		LL		FrIn

	as well as	Prep	63	-	2480.9	222
	pp.	NoC	0	-	2480.9	78
	nose	NoC	122	+	2476.7	24
	third	Ord	83	-	2476.7	256
	white	Adj	377	+	2475.2	172
	nuclear	Adj	9	-	2474.0	109
	defence	NoC	27	-	2472.4	152
	competition	NoC	14	-	2468.5	122
	9	Num	9	-	2467.9	109
	shaking	Verb	72	+	2456.8	6
	Melissa	NoP	48	+	2456.2	1
	user	NoC	1	-	2453.7	82
	reduce	Verb	5	-	2451.0	94
	lit	Verb	83	+	2450.6	9
	shirt	NoC	92	+	2446.9	12
	gazed	Verb	55	+	2444.8	2
	hurt	Verb	109	+	2441.1	19
	property	NoC	32	-	2433.9	161
	centre	NoC	98	-	2431.7	279
	associated	Verb	6	-	2430.4	99
	quiet	Adj	154	+	2428.9	40
	media	NoC	9	-	2427.3	106
	Theda	NoP	42	+	2423.1	0
	pocket	NoC	105	+	2422.2	18
	modern	Adj	36	-	2421.4	168
	threw	Verb	99	+	2421.0	15
	stupid	Adj	88	+	2420.6	11
	interests	NoC	21	-	2407.3	136
	change	NoC	79	-	2405.4	246
lying	Verb	128	+	2399.4	28
	campaign	NoC	14	-	2399.4	120
	all	Adv	339	+	2397.1	150
	sergeant	NoC	89	+	2396.8	12
	angry	Adj	123	+	2396.2	25
	popular	Adj	22	-	2393.9	139
	drink	NoC	124	+	2388.4	26
	Guil	NoP	41	+	2388.3	0
	proposals	NoC	3	-	2386.4	88
	throughout	Prep	27	-	2385.4	149
	doorway	NoC	68	+	2384.0	5
	extent	NoC	18	-	2375.8	128
	wondering	Verb	82	+	2373.1	10
	key	Adj	7	-	2370.2	99
	speaker	NoC	9	-	2370.0	104
	Japan	NoP	4	-	2369.1	89
	elections	NoC	1	-	2368.4	79
	material	NoC	37	-	2360.2	168
	somehow	Adv	124	+	2359.1	26
	slipped	Verb	89	+	2354.6	12
	wore	Verb	97	+	2347.2	15
	relatively	Adv	9	-	2343.3	105
	division	NoC	13	-	2341.7	116
	additional	Adj	6	-	2341.4	96
	tall	Adj	127	+	2341.3	28
	unit	NoC	24	-	2340.0	140
	chest	NoC	111	+	2339.9	21
	manager	NoC	41	-	2339.6	174
	subjects	NoC	9	-	2327.6	103
	speak	Verb	195	+	2326.7	63
	away from	Prep	246	+	2325.5	93
	February	NoP	11	-	2323.7	109
	1984	Num	2	-	2323.1	81
	1981	Num	2	-	2319.5	79
	car	NoC	441	+	2318.8	222
	democratic	Adj	2	-	2316.9	81
	worry	Verb	114	+	2314.9	22
	distribution	NoC	3	-	2313.8	85
	necessary	Adj	70	-	2310.7	226
	world	NoC	393	-	2307.3	690
	designed	Verb	21	-	2305.9	132
	inside	Prep	175	+	2305.1	52
	league	NoC	11	-	2302.8	109
	dressed	Verb	109	+	2299.7	21
	finger	NoC	97	+	2298.2	16
	d'	Verb	46	+	2297.4	1
	position	NoC	100	-	2293.7	276
	royal	Adj	49	-	2289.3	189
	at	Prep	5572	+	2286.3	4685
	special	Adj	95	-	2284.6	267
	thought	NoC	212	+	2282.0	74
	Gabriel	NoP	59	+	2281.3	3
	ministers	NoC	6	-	2280.7	92
	western	Adj	20	-	2275.9	130
	cultural	Adj	5	-	2275.4	89
	title	NoC	20	-	2273.3	128
	status	NoC	15	-	2272.7	116
	please	Adv	218	+	2270.5	78
	aspects	NoC	7	-	2269.2	96
	function	NoC	8	-	2263.6	99
	measures	NoC	5	-	2262.2	88
	1983	Num	2	-	2261.9	79
	inside	Adv	130	+	2261.9	30
	eh	Int	58	+	2260.6	3
	people	NoC	825	-	2259.0	1229
	hurried	Verb	55	+	2256.7	3
	17	Num	4	-	2254.7	88
	facilities	NoC	8	-	2254.3	98
	produced	Verb	38	-	2253.8	165
	text	NoC	9	-	2253.5	102
	unemployment	NoC	4	-	2250.3	84
	essential	Adj	14	-	2248.5	115
	increase	Verb	7	-	2244.1	94
	waved	Verb	62	+	2234.1	5
	afternoon	NoC	172	+	2233.5	52
	output	NoC	2	-	2230.2	78
	various	Adj	51	-	2229.2	190
	rain	NoC	151	+	2227.5	42
	art	NoC	55	-	2223.4	195
	relevant	Adj	11	-	2221.4	104
	laughter	NoC	80	+	2219.1	10
	side	NoC	518	+	2216.2	282
	Sophie	NoP	55	+	2215.4	3
	40	Num	2	-	2215.0	79
	military	Adj	27	-	2212.3	143
	dark	NoC	97	+	2210.1	17
	Joe	NoP	118	+	2206.3	26
	at all	Adv	256	+	2200.4	102
	principle	NoC	12	-	2198.6	107
	appeal	NoC	18	-	2194.8	121
	November	NoP	18	-	2194.6	122
	dear	NoC	55	+	2194.5	3
	secretary	NoC	52	-	2194.1	189
	Blanche	NoP	52	+	2193.5	2
	experience	NoC	75	-	2190.5	230
	suggests	Verb	6	-	2189.7	91
	access	NoC	21	-	2189.3	128
	currently	Adv	7	-	2187.1	93
	units	NoC	7	-	2186.9	92
	corner	NoC	166	+	2185.2	50
	curriculum	NoC	1	-	2183.9	72
	listen	Verb	126	+	2181.6	30
	corridor	NoC	74	+	2178.2	8
	leaders	NoC	9	-	2178.1	97
	flat	NoC	122	+	2177.0	28
	his*	Pron	129	+	2168.2	31
	Scotland	NoP	40	-	2168.2	166
	order	NoC	82	-	2168.1	240
	reached	Verb	258	+	2159.0	105
	chin	NoC	63	+	2157.3	5
	assessment	NoC	6	-	2157.2	89
	knees	NoC	85	+	2156.7	12
	commercial	Adj	11	-	2155.9	104
	tonight	Adv	137	+	2155.4	35
	warm	Adj	151	+	2153.9	42
	techniques	NoC	3	-	2151.7	81
	in order	ClO	40	-	2150.8	166
	educational	Adj	3	-	2149.5	79
	Meredith	NoP	48	+	2146.6	2
	on	Prep	5802	-	2140.8	6768
	sources	NoC	6	-	2140.4	90
	more than*	Adv	52	-	2139.6	187
	increased	Adj	3	-	2134.3	77
	behaviour	NoC	37	-	2134.0	158
	thoughts	NoC	126	+	2130.8	30
	markets	NoC	3	-	2128.5	80
	disease	NoC	17	-	2127.5	117
	sleep	Verb	100	+	2125.7	19
	at once	Adv	107	+	2121.7	22
	21	Num	3	-	2121.7	78
	long	Adj	529	+	2118.9	294
	importance	NoC	22	-	2115.9	127
	total	Adj	35	-	2113.5	154
	e.g.	Adv	1	-	2113.2	68
	terrible	Adj	112	+	2111.0	24
	administration	NoC	6	-	2108.9	89
	expenditure	NoC	2	-	2106.2	73
	record	NoC	37	-	2106.0	157
	success	NoC	44	-	2105.5	170
	following	Adj	44	-	2105.2	172
	bent	Verb	75	+	2105.0	9
	yourself	Pron	202	+	2103.3	72
	IBM	NoP	0	-	2101.9	67
	1982	Num	2	-	2101.7	72
	telling	Verb	130	+	2098.5	33
	applications	NoC	5	-	2098.4	83
	largely	Adv	10	-	2097.1	99
	yesterday	Adv	77	-	2096.0	228
	care	NoC	85	-	2093.0	242
	1979	Num	3	-	2079.9	76
	materials	NoC	8	-	2074.6	91
	American	Adj	59	-	2070.9	197
	downstairs	Adv	60	+	2069.0	5
	nature	NoC	76	-	2068.3	225
	bag	NoC	121	+	2067.0	29
	marry	Verb	87	+	2062.9	14
	laugh	NoC	61	+	2062.3	5
	realised	Verb	131	+	2058.4	34
	Lydia	NoP	45	+	2055.3	1
	Corp	NoC	2	-	2050.0	73
	executive	NoC	12	-	2049.8	102
	direct	Adj	26	-	2049.5	134
	silently	Adv	53	+	2049.0	3
	quickly	Adv	243	+	2048.7	98
	coat	NoC	93	+	2041.2	17
	bit*	NoC	172	+	2041.0	56
	31	Num	2	-	2040.6	71
	programmes	NoC	6	-	2038.4	85
	straight	Adv	133	+	2037.8	35
	rural	Adj	5	-	2032.4	82
	1980	Num	2	-	2030.5	72
	support	Verb	19	-	2029.6	118
	compared	Verb	18	-	2028.5	115
	public	NoC	20	-	2025.8	120
	Rory	NoP	46	+	2020.0	2
	variety	NoC	18	-	2018.4	115
	exclaimed	Verb	46	+	2018.2	2
	peered	Verb	43	+	2015.5	1
	pupils	NoC	15	-	2014.3	108
	providing	Verb	8	-	2012.1	90
	cigarette	NoC	77	+	2010.2	11
	network	NoC	10	-	2009.6	95
	create	Verb	14	-	2009.5	106
	brown	Adj	118	+	2009.2	28
	Germany	NoP	28	-	2007.3	137
	successful	Adj	29	-	2004.5	138
	mine	Pron	89	+	2003.9	16
	Juliet	NoP	51	+	2003.5	3
	nobody	Pron	128	+	2003.0	33
	ai~*	Uncl	56	+	2002.5	4
	reform	NoC	2	-	2002.3	71
	cells	NoC	13	-	2002.3	102
	sudden	Adj	111	+	2002.1	25
	standard	Adj	9	-	2001.5	94
	conservative*	Adj	6	-	2000.8	83
	points	NoC	29	-	2000.5	138
	concept	NoC	6	-	1995.9	85
	overall	Adj	5	-	1993.6	80
	requirements	NoC	5	-	1988.5	79
	subject	NoC	77	-	1986.3	222
	debate	NoC	7	-	1986.0	88
	organisations	NoC	1	-	1981.2	67
	account	NoC	45	-	1981.0	167
	drove	Verb	104	+	1980.4	22
	glared	Verb	39	+	1980.2	1
	Ltd	Adj	2	-	1976.7	71
	proportion	NoC	6	-	1975.7	84
	site	NoC	21	-	1972.5	120
	obtained	Verb	7	-	1969.8	85
	listened	Verb	77	+	1968.1	11
	conversation	NoC	129	+	1966.3	34
	rules	NoC	28	-	1965.7	134
	o'clock	Adv	88	+	1964.0	15
	event	NoC	28	-	1963.9	134
	construction	NoC	7	-	1962.3	85
	original	Adj	30	-	1961.2	138
	doing	Verb	342	+	1961.0	166
	processes	NoC	3	-	1959.2	73
	course	NoC	77	-	1957.2	222
	housing	NoC	5	-	1955.8	80
	Jack	NoP	137	+	1947.9	39
	application	NoC	24	-	1946.5	126
	Ros	NoP	41	+	1944.4	1
	Unix	NoP	0	-	1942.0	59
	outside	Adv	126	+	1941.7	33
	Ellie	NoP	37	+	1937.3	0
	Bernice	NoP	35	+	1932.1	0
	right	Adj	438	+	1931.1	235
	Jenna	NoP	34	+	1930.5	0
	till	Conj	67	+	1929.9	8
	mum	NoC	119	+	1928.3	30
	22	Num	4	-	1926.8	74
	faint	Adj	60	+	1925.2	6
	present	Adj	56	-	1923.4	185
	sigh	NoC	49	+	1922.8	3
	brother	NoC	179	+	1921.1	63
	united	Adj	8	-	1919.4	86
	players	NoC	16	-	1914.5	107
	Miranda	NoP	42	+	1910.0	1
	introduction	NoC	8	-	1909.7	88
	risk	NoC	29	-	1908.4	134
	works	NoC	16	-	1907.5	107
	Travis	NoP	41	+	1907.1	1
	silly	Adj	75	+	1906.7	11
	numbers	NoC	30	-	1904.3	135
	sound	NoC	212	+	1900.9	83
	degree	NoC	26	-	1897.9	127
	19	Num	4	-	1897.9	74
	saying	Verb	248	+	1896.4	105
	given	Verb	225	-	1894.5	436
	28	Num	2	-	1892.5	69
	finance	NoC	4	-	1891.0	74
	east	NoC	43	-	1889.5	160
	technical	Adj	9	-	1889.2	89
	i.e.	Adv	1	-	1887.5	63
	hard	Adv	162	+	1887.0	53
	Wales	NoP	22	-	1883.3	119
	keep	Verb	409	+	1882.2	217
	bastard	NoC	51	+	1878.7	4
	considerable	Adj	25	-	1877.1	125
	kept	Verb	263	+	1874.9	116
	wrong	Adj	249	+	1873.6	107
	aid	NoC	15	-	1873.2	102
	requires	Verb	3	-	1872.3	72
	across	Adv	96	+	1872.2	20
	USA	NoP	3	-	1871.6	70
	conference	NoC	25	-	1867.8	125
	forehead	NoC	54	+	1867.8	4
	anger	NoC	98	+	1865.4	21
	South	NoP-	9	-	1862.8	88
	talks	NoC	6	-	1859.7	80
	UN	NoP	1	-	1858.9	62
	decisions	NoC	13	-	1853.4	97
	grin	NoC	48	+	1853.3	3
	long	Adv	313	+	1850.4	150
	hat	NoC	88	+	1849.0	17
	sites	NoC	4	-	1845.8	72
	potential	Adj	9	-	1845.8	87
	remains	Verb	14	-	1841.5	100
	Masklin	NoP	32	+	1837.9	0
	managers	NoC	5	-	1837.7	77
	Darlington	NoP	5	-	1837.2	76
	dear	Adj	95	+	1832.4	20
	Auguste	NoP	36	+	1830.0	1
	security	NoC	52	-	1829.4	174
	transport	NoC	15	-	1827.6	102
	jacket	NoC	87	+	1826.5	16
	flesh	NoC	81	+	1823.3	14
	congress	NoC	2	-	1822.7	67
	Cranston	NoP	36	+	1818.7	1
	personal	Adj	79	-	1817.0	218
	abruptly	Adv	52	+	1815.0	4
	done	Verb	446	+	1813.1	247
	version	NoC	17	-	1810.1	106
	tongue	NoC	77	+	1809.8	13
	trembling	Verb	42	+	1805.0	2
	elements	NoC	9	-	1803.6	85
	Pascoe	NoP	35	+	1803.4	0
	Sarah	NoP	92	+	1801.3	19
	sort	NoC	252	+	1800.5	111
	energy	NoC	42	-	1797.1	154
	Sam	NoP	89	+	1796.9	18
	mad	Adj	87	+	1795.8	17
	leaning	Verb	55	+	1795.3	5
	internal	Adj	10	-	1792.7	89
	learning	NoC	5	-	1792.3	73
	projects	NoC	5	-	1790.2	73
	August	NoP	16	-	1787.5	103
	breeze	NoC	54	+	1785.7	5
	active	Adj	13	-	1784.2	95
	forget	Verb	127	+	1783.0	36
	ability	NoC	23	-	1780.6	117
	profits	NoC	6	-	1777.2	77
	bright	Adj	131	+	1776.9	39
	gasped	Verb	38	+	1774.1	1
	civil	Adj	21	-	1773.2	112
	reduction	NoC	2	-	1771.4	63
	understand	Verb	264	+	1769.4	120
	urban	Adj	4	-	1768.8	71
	sake	NoC	88	+	1768.6	18
	OK*	Adv	60	+	1765.5	7
	achieved	Verb	17	-	1764.4	103
	complex	Adj	13	-	1761.9	95
	guessed	Verb	50	+	1761.5	4
	becomes	Verb	15	-	1761.4	99
	Africa	NoP	16	-	1760.7	102
	children	NoC	297	-	1760.6	524
	employees	NoC	6	-	1760.4	77
	slept	Verb	61	+	1758.3	7
	consumer	NoC	1	-	1757.9	59
	pressure	NoC	39	-	1756.9	147
	Caroline	NoP	64	+	1756.1	8
	centres	NoC	4	-	1756.0	69
	season	NoC	35	-	1755.9	139
	Chairman	NoC	29	-	1755.3	127
	influence	NoC	18	-	1753.7	105
	procedures	NoC	4	-	1753.3	68
	future	Adj	19	-	1752.7	108
	finished	Verb	150	+	1751.9	50
	fool	NoC	56	+	1751.1	6
	hardly	Adv	185	+	1750.2	70
	factor	NoC	8	-	1747.7	82
	apply	Verb	16	-	1747.4	101
	ref	NoC	0	-	1747.1	55
	officials	NoC	9	-	1746.9	83
	Wycliffe	NoP	33	+	1745.7	0
	States	NoP	20	-	1744.7	109
	angrily	Adv	47	+	1743.4	3
	smell	NoC	78	+	1742.6	14
	video-taped	Adj	0	-	1740.4	53
	X / x	Lett	3	-	1738.8	65
	thin	Adj	125	+	1738.5	36
	claims	NoC	5	-	1736.2	71
	wearing	Verb	120	+	1735.1	33
	appears	Verb	16	-	1733.3	100
	getting	Verb	283	+	1732.2	134
	almost	Adv	506	+	1731.1	295
	hated	Verb	59	+	1727.2	7
	impact	NoC	14	-	1723.9	96
	treaty	NoC	4	-	1723.8	68
	become	Verb	181	-	1723.1	364
	joint	Adj	9	-	1720.8	83
	parts	NoC	38	-	1719.6	144
	institute	NoC	5	-	1717.6	71
	drank	Verb	55	+	1715.5	5
	scale	NoC	13	-	1714.9	94
	surely	Adv	139	+	1713.6	44
	forgotten	Verb	96	+	1711.7	22
	due to	Prep	17	-	1710.9	101
	won	Verb	39	-	1710.2	145
	black	Adj	374	+	1709.1	198
	organization	NoC	8	-	1703.3	81
	shadows	NoC	58	+	1701.3	7
	developments	NoC	4	-	1700.5	69
	flung	Verb	46	+	1700.2	3
	strategy	NoC	8	-	1694.8	79
	23	Num	3	-	1694.4	66
	Cara	NoP	33	+	1692.1	0
	limited	Adj	10	-	1690.9	84
	on to	Prep	172	+	1690.0	64
	Harriet	NoP	60	+	1685.4	8
	latter	DetP	18	-	1683.9	103
	rolled	Verb	66	+	1682.2	10
	historical	Adj	6	-	1679.5	74
	breasts	NoC	50	+	1678.5	4
	billion	NoC	3	-	1677.3	64
	anyone	Pron	266	+	1677.0	124
	good	Adj	940	+	1676.4	646
	courts	NoC	8	-	1675.9	79
	tone	NoC	109	+	1675.7	29
	widely	Adv	7	-	1675.0	76
	screamed	Verb	46	+	1673.3	3
	objectives	NoC	1	-	1670.6	57
	lifespan	NoC	0	-	1670.3	52
	share	NoC	20	-	1670.2	106
	26	Num	2	-	1669.9	61
	better	Adv	244	+	1668.0	109
	sight	NoC	150	+	1667.0	51
	relationships	NoC	9	-	1664.7	80
	external	Adj	4	-	1664.6	67
	shivered	Verb	32	+	1664.0	0
	inflation	NoC	2	-	1663.3	60
	operation	NoC	30	-	1662.8	126
	detailed	Adj	8	-	1662.3	79
	P / p	Lett	2	-	1659.5	58
	form	Verb	18	-	1656.8	102
	goal	NoC	7	-	1655.4	75
	created	Verb	22	-	1654.5	110
	our	Det	669	-	1651.5	978
	increased	Verb	15	-	1650.9	96
	industries	NoC	2	-	1649.2	58
	marketing	NoC	4	-	1648.7	65
	Rachaela	NoP	28	+	1648.1	0
	yeah	Int	57	+	1647.8	7
	defined	Verb	6	-	1645.4	73
	crossed	Verb	87	+	1643.8	18
	opportunities	NoC	7	-	1643.7	76
	pause	NoC	57	+	1643.3	7
	average	Adj	9	-	1640.1	80
	schemes	NoC	4	-	1639.0	65
	until	Conj	396	+	1638.8	218
	total	NoC	4	-	1636.1	65
	membership	NoC	5	-	1633.0	68
	sale	NoC	23	-	1629.2	111
	discipline	NoC	7	-	1628.3	74
	lights	NoC	107	+	1626.4	29
	deep	Adj	168	+	1624.2	63
	Middlesbrough	NoP	0	-	1623.9	50
	substantial	Adj	10	-	1622.7	82
	liberal*	Adj	6	-	1622.1	71
	loss	NoC	43	-	1617.4	147
	Ronni	NoP	29	+	1616.6	0
	governments	NoC	3	-	1616.4	63
	60	Num	2	-	1615.8	57
	along	Adv	138	+	1615.7	45
	surprise	NoC	117	+	1615.0	34
	fell	Verb	202	+	1614.4	84
	communication	NoC	9	-	1614.0	80
	aye	Int	40	+	1612.8	2
	goals	NoC	3	-	1610.1	63
	view	NoC	106	-	1608.8	249
	appointed	Verb	10	-	1608.7	81
	time	NoC	1841	+	1608.3	1424
	positive	Adj	20	-	1606.5	103
	turning	Verb	132	+	1604.6	42
	kiss	Verb	45	+	1604.2	3
	fundamental	Adj	3	-	1603.0	61
	thoughtfully	Adv	35	+	1601.1	1
	jerked	Verb	33	+	1599.8	1
	improve	Verb	9	-	1599.2	79
	Katherine	NoP	45	+	1597.5	3
	beautiful	Adj	174	+	1596.4	67
	in addition	Adv	3	-	1594.9	61
	off	Prep	323	+	1593.8	167
	trouble	NoC	166	+	1593.8	62
	communities	NoC	1	-	1592.3	56
	kill	Verb	110	+	1590.0	31
	Oliver	NoP	70	+	1589.3	12
	lip	NoC	57	+	1588.8	7
	Sara	NoP	49	+	1588.6	5
	27	Num	3	-	1586.4	60
	west	NoC	48	-	1586.1	156
	funds	NoC	10	-	1584.6	81
	benefit	NoC	16	-	1584.2	95
	assembly	NoC	6	-	1580.5	71
	climbed	Verb	75	+	1580.2	14
	jobs	NoC	25	-	1579.9	113
	Stephen	NoP	118	+	1579.4	35
	jumped	Verb	72	+	1577.5	13
	day	NoC	803	+	1576.1	540
	selection	NoC	10	-	1576.0	79
	institution	NoC	5	-	1575.7	67
	societies	NoC	2	-	1575.6	59
	source	NoC	27	-	1574.5	118
	West	NoP-	25	-	1573.3	113
	rise	NoC	16	-	1572.8	93
	require	Verb	14	-	1572.8	90
	glasses	NoC	69	+	1571.8	12
	woke	Verb	50	+	1567.6	5
	reference	NoC	18	-	1566.3	98
	recently	Adv	47	-	1563.8	152
	God	NoP	310	+	1558.8	159
	Shelley	NoP	45	+	1557.5	4
	talked	Verb	100	+	1557.1	26
	1980s	Num	1	-	1554.8	53
	dinner	NoC	129	+	1553.7	41
	Merrill	NoP	35	+	1553.5	1
	claim	NoC	12	-	1553.1	85
	increasing	Adj	7	-	1551.1	73
	realized	Verb	83	+	1550.5	18
	tomorrow	Adv	154	+	1549.2	56
	bit	Verb	44	+	1547.9	3
	conflict	NoC	8	-	1547.6	73
	twisted	Verb	43	+	1547.4	3
	walk	Verb	128	+	1547.2	41
	subject to	Prep	6	-	1546.1	68
	high	Adj	239	-	1545.8	431
	fund	NoC	6	-	1545.7	68
	sleep	NoC	97	+	1545.4	25
	walking	Verb	106	+	1544.3	29
	ears	NoC	83	+	1543.3	18
	started	Verb	276	+	1540.8	136
	swallowed	Verb	49	+	1540.4	5
	among	Prep	132	-	1539.4	283
	largest	Adj	9	-	1538.5	77
	teaching	NoC	8	-	1535.4	74
	claimed	Verb	23	-	1534.7	108
	procedure	NoC	8	-	1534.1	74
	difficulties	NoC	14	-	1533.3	88
	initial	Adj	11	-	1533.3	82
	offers	Verb	4	-	1532.1	62
	ye	Pron	55	+	1531.8	7
	contribution	NoC	6	-	1529.5	69
	payments	NoC	3	-	1528.8	60
	charges	NoC	9	-	1528.3	77
	critical	Adj	9	-	1526.6	76
	expressed	Verb	15	-	1525.8	90
	Marie	NoP	59	+	1525.1	9
	Burun	NoP	26	+	1524.7	0
	blinked	Verb	30	+	1523.5	0
	Mungo	NoP	30	+	1522.4	0
	Northern	NoP-	3	-	1521.2	58
	related	Verb	8	-	1520.1	74
	Seb	NoP	31	+	1517.1	1
	stretched	Verb	65	+	1517.0	11
	alternative	Adj	6	-	1515.7	67
	eye	NoC	187	+	1515.6	77
	achieve	Verb	13	-	1514.7	86
	pressed	Verb	82	+	1512.4	18
	Leonora	NoP	30	+	1512.2	0
	principles	NoC	9	-	1507.7	76
	three	Num	487	-	1505.7	743
	recorded	Verb	9	-	1505.6	74
	trees	NoC	169	+	1504.2	66
	poured	Verb	59	+	1504.1	9
	bloody	Adv	44	+	1503.4	3
	us	Pron	773	+	1502.3	521
	protection	NoC	21	-	1501.9	102
	individual	NoC	8	-	1501.7	72
	contemporary	Adj	4	-	1501.6	61
	criteria	NoC	1	-	1498.0	50
	enquired	Verb	40	+	1497.8	3
	through	Prep	986	+	1496.4	699
	structures	NoC	3	-	1495.8	60
	definition	NoC	5	-	1495.6	63
	previously	Adv	15	-	1494.3	89
	reduced	Verb	13	-	1493.2	85
	south	NoC	76	-	1491.9	197
	month	NoC	61	-	1491.8	173
	madame	Fore	43	+	1490.9	4
	corporate	Adj	4	-	1488.7	61
	believe	Verb	329	+	1488.1	175
	solution	NoC	15	-	1487.7	89
	domestic	Adj	15	-	1487.7	90
	D / d	Lett	8	-	1487.5	72
	involves	Verb	2	-	1487.4	56
	practices	NoC	4	-	1484.5	61
	parliamentary	Adj	3	-	1484.0	58
	Endill	NoP	25	+	1483.6	0
	discussion	NoC	23	-	1482.4	105
	commitment	NoC	9	-	1480.7	73
	plant	NoC	18	-	1479.2	95
	functions	NoC	6	-	1478.9	67
	somebody	Pron	87	+	1477.8	21
	statement	NoC	31	-	1477.6	120
	around	Prep	382	+	1475.9	215
	even	Adv	971	+	1473.6	688
	revenue	NoC	2	-	1473.3	53
	manufacturing	NoC	2	-	1472.0	56
	breathed	Verb	39	+	1471.3	2
	Dexter	NoP	36	+	1470.7	2
	equipment	NoC	27	-	1469.5	113
	four	Num	230	-	1469.0	413
	agriculture	NoC	1	-	1466.8	52
	consider	Verb	44	-	1465.7	144
	lovely	Adj	101	+	1465.4	28
	attitudes	NoC	5	-	1463.9	64
	dropped	Verb	127	+	1463.9	42
	young	Adj	482	+	1463.3	291
	hour	NoC	191	+	1462.0	81
	whether	Conj	189	-	1460.1	357
	oil	NoC	35	-	1459.2	128
	dear	Int	66	+	1459.2	12
	leader	NoC	30	-	1458.5	117
	yelled	Verb	35	+	1458.4	2
	representatives	NoC	3	-	1458.1	56
	pollution	NoC	3	-	1455.4	55
	etc	Adv	7	-	1454.4	68
	kiss	NoC	50	+	1453.2	6
	Clare	NoP	62	+	1452.3	10
	v	Prep	0	-	1451.5	45
	France	NoP	51	-	1450.9	154
	in relation to	Prep	4	-	1449.7	59
	since	Prep	90	-	1448.5	216
	constitution	NoC	2	-	1447.8	53
	Silas	NoP	26	+	1447.2	0
	hate	Verb	65	+	1445.9	12
	engineering	NoC	6	-	1445.3	66
	liability	NoC	2	-	1445.1	53
	database	NoC	0	-	1443.6	44
	Jenny	NoP	52	+	1443.3	7
	Oct.	NoP	0	-	1443.2	44
	operations	NoC	12	-	1442.5	80
	single	Adj	88	-	1441.5	212
	if	Conj	2488	+	1440.8	2022
	leadership	NoC	6	-	1439.8	64
	laugh	Verb	60	+	1439.2	10
	rule	NoC	23	-	1438.1	103
	gun	NoC	88	+	1437.9	22
	reports	NoC	19	-	1437.3	96
	enable	Verb	5	-	1436.5	63
	professional	Adj	39	-	1436.0	133
	watch	NoC	76	+	1433.5	16
	glancing	Verb	32	+	1431.6	1
	cottage	NoC	84	+	1431.2	20
	war	NoC	166	-	1428.3	324
	republic	NoC	4	-	1425.5	59
	significantly	Adv	3	-	1424.7	56
	stomach	NoC	80	+	1423.5	19
	care	Verb	112	+	1423.1	35
	imagine	Verb	122	+	1423.1	40
	29	Num	3	-	1423.1	55
	1978	Num	2	-	1422.6	52
	unions	NoC	3	-	1421.9	57
	federal	Adj	2	-	1421.7	52
	spokesman	NoC	3	-	1420.0	54
	Meg	NoP	36	+	1419.6	2
	knowledge	NoC	69	-	1418.1	182
	means	NoC	32	-	1414.5	119
	supply	NoC	16	-	1414.5	89
	funding	NoC	1	-	1414.3	50
	less	Adv	141	-	1414.2	288
	Belinda	NoP	33	+	1413.1	1
	knowing	Verb	109	+	1412.8	33
	thick	Adj	107	+	1410.7	32
	1977	Num	2	-	1408.6	51
	exchange	NoC	25	-	1408.4	106
	readers	NoC	6	-	1407.4	63
	minute	NoC	136	+	1407.3	48
	Jan.	NoP	0	-	1407.1	44
	soft	Adj	134	+	1406.1	48
	program	NoC	2	-	1405.7	53
	leading	Adj	13	-	1405.5	81
	studio	NoC	22	-	1404.7	99
	purposes	NoC	11	-	1403.8	76
	strode	Verb	34	+	1403.6	1
	practical	Adj	21	-	1403.2	99
	received	Verb	57	-	1402.8	162
	transfer	NoC	7	-	1402.8	68
	eyebrows	NoC	39	+	1401.0	3
	allows	Verb	3	-	1400.7	55
	holding	Verb	151	+	1400.0	57
	hissed	Verb	29	+	1399.2	1
	1970s	Num	1	-	1399.1	48
	departments	NoC	3	-	1398.3	56
	views	NoC	19	-	1398.2	93
	grass	NoC	99	+	1397.6	28
	forward	Adv	232	+	1397.4	110
	reminded	Verb	70	+	1396.8	14
	eastern	Adj	12	-	1396.6	78
	student	NoC	21	-	1396.3	98
	presented	Verb	24	-	1395.6	103
	Sally-Anne	NoP	24	+	1395.0	0
	should	VMod	855	-	1392.8	1170
	style	NoC	41	-	1391.9	134
	front	Adj	140	+	1390.7	51
	emphasis	NoC	9	-	1390.3	72
	highly	Adv	31	-	1388.6	117
	funny	Adj	80	+	1388.6	19
	wife	NoC	288	+	1385.2	150
	as soon as	Conj	102	+	1383.2	30
	Shiona	NoP	24	+	1381.3	0
	bottle	NoC	94	+	1380.9	26
	museum	NoC	17	-	1380.3	89
	name	NoC	371	+	1378.2	211
	regions	NoC	4	-	1377.7	56
	phase	NoC	6	-	1377.1	62
	continue	Verb	47	-	1376.7	144
	capacity	NoC	11	-	1376.3	76
	models	NoC	9	-	1376.2	71
	size	NoC	50	-	1375.6	150
	America	NoP	37	-	1375.5	127
	payment	NoC	9	-	1374.8	70
	pain	NoC	151	+	1374.1	58
	sensed	Verb	41	+	1373.8	3
	stuff	NoC	103	+	1372.8	30
	China	NoP	5	-	1369.5	61
	similarly	Adv	5	-	1368.6	61
	contains	Verb	6	-	1366.3	62
	groaned	Verb	29	+	1365.5	1
	to	Prep	8875	-	1364.8	9813
	framework	NoC	3	-	1363.5	53
	video	NoC	12	-	1360.8	77
	Ireland	NoP	35	-	1360.3	122
	recession	NoC	2	-	1360.3	50
