	Word	PoS		FrSp	Ra	DiSp		LogLi	FrWr	Ra	DiWr
	could	VMod	:	1949	10	0.97	+	464.3	1653	90	0.95
	council	NoC	%	470	10	0.70	+	452.3	334	90	0.89
	@	@	council	424	10	0.69	+	413.2	300	90	0.88
	@	@	councils	46	10	0.71	+	39.3	33	84	0.88
	country	NoC	%	261	10	0.79	-	1428.2	513	90	0.93
	@	@	countries	57	10	0.74	-	1115.4	180	90	0.89
	@	@	country	204	10	0.80	-	538.0	332	90	0.94
	county	NoC	%	267	10	0.60	+	1361.7	113	90	0.88
	@	@	counties	9	9	0.73	-	39.3	16	85	0.89
	@	@	county	258	10	0.59	+	1648.7	96	90	0.87
	couple	NoC	%	227	10	0.92	+	563.8	128	90	0.94
	@	@	couple	220	10	0.92	+	748.1	111	90	0.94
	@	@	couples	7	10	0.75	-	74.7	17	90	0.90
	course	NoC	%	177	10	0.81	-	391.1	277	90	0.90
	@	@	course	143	10	0.81	-	128.0	192	90	0.93
	@	@	courses	34	10	0.76	-	379.7	86	89	0.83
	court	NoC	%	108	10	0.80	-	2506.7	372	90	0.86
	@	@	court	94	10	0.80	-	1961.8	307	90	0.85
	@	@	courts	14	10	0.75	-	559.9	65	90	0.88
	cover	Verb	%	136	10	0.87	-	204.3	198	90	0.96
	@	@	cover	56	10	0.89	-	11.4	65	90	0.95
	@	@	covered	53	10	0.85	-	107.2	82	90	0.96
	@	@	covering	13	10	0.83	-	125.7	31	90	0.95
	@	@	covers	13	10	0.85	-	23.4	20	90	0.93
	create	Verb	%	75	10	0.76	-	1392.7	233	90	0.94
	@	@	create	34	10	0.75	-	406.5	87	90	0.94
	@	@	created	23	10	0.75	-	705.7	92	90	0.94
	@	@	creates	6	10	0.73	-	69.5	15	86	0.92
	@	@	creating	12	10	0.73	-	239.3	38	90	0.95
